j EnclosedMass[g] radius[cm] velocity[cm/s] density[g/cc] X_H X_He
290 2.662e+32 1.453e+15 1.000e+07 5.590e-15 7.000e-01 2.800e-01
291 2.682e+32 1.467e+15 1.000e+07 5.440e-15 7.000e-01 2.800e-01
292 2.701e+32 1.480e+15 1.000e+07 5.293e-15 7.000e-01 2.800e-01
293 2.721e+32 1.494e+15 1.000e+07 5.149e-15 7.000e-01 2.800e-01
294 2.741e+32 1.508e+15 1.000e+07 5.008e-15 7.000e-01 2.800e-01
295 2.761e+32 1.522e+15 1.000e+07 4.871e-15 7.000e-01 2.800e-01
296 2.781e+32 1.536e+15 1.000e+07 4.736e-15 7.000e-01 2.800e-01
297 2.801e+32 1.550e+15 1.000e+07 4.605e-15 7.000e-01 2.800e-01
298 2.820e+32 1.565e+15 1.000e+07 4.477e-15 7.000e-01 2.800e-01
299 2.840e+32 1.579e+15 1.000e+07 4.352e-15 7.000e-01 2.800e-01
300 2.860e+32 1.594e+15 1.000e+07 4.230e-15 7.000e-01 2.800e-01
301 2.880e+32 1.608e+15 1.000e+07 4.110e-15 7.000e-01 2.800e-01
302 2.899e+32 1.623e+15 1.000e+07 3.994e-15 7.000e-01 2.800e-01
303 2.919e+32 1.638e+15 1.000e+07 3.880e-15 7.000e-01 2.800e-01
304 2.939e+32 1.654e+15 1.000e+07 3.769e-15 7.000e-01 2.800e-01
305 2.958e+32 1.669e+15 1.000e+07 3.661e-15 7.000e-01 2.800e-01
306 2.978e+32 1.684e+15 1.000e+07 3.555e-15 7.000e-01 2.800e-01
307 2.998e+32 1.700e+15 1.000e+07 3.452e-15 7.000e-01 2.800e-01
308 3.017e+32 1.716e+15 1.000e+07 3.351e-15 7.000e-01 2.800e-01
309 3.037e+32 1.732e+15 1.000e+07 3.253e-15 7.000e-01 2.800e-01
310 3.056e+32 1.748e+15 1.000e+07 3.157e-15 7.000e-01 2.800e-01
